tblInstallBase_Ident Item Id,Ident Asset Num,Country,SEN Connectivity,Overall Status,Substatus,Last Pour,Equip Serial Num Upper Case
9394783,10759301,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211602PT010
9394784,10759302,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 57 PM,6211602PT003
9181780,10548182,USA,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,6211506PT010
9181782,10548184,USA,Not Connected,MEM Remediation in progress for SEN Connectivity - USA,MEM to Submit SEN Onboarding Form,,6211506PT019
9181775,10548177,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 04: 14 PM,6211506PT013
9418769,10759766,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 08: 49: 29 PM,6211608PT088
9223237,10402261,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 19: 03 PM,62A1514KD012
9218092,10402207,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 08: 30 PM,62A1514KD001
9223234,10402258,USA,Not Connected,MEM Remediation in progress for SEN Connectivity - USA,MEM to Submit SEN Onboarding Form,,62A1514KD011
9088022,10420565,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 13: 43 PM,62A1435KD002
9076012,10427683,USA,Not Connected,SEN - Activation In Progress,No Action,,62A1416KD025
9051727,10321448,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 34: 58 PM,62A1416KD022
9218094,10402242,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,62A1514KD004
9018440,10302986,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 10: 52 PM,62A1418KD013
9018443,10302989,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 00 PM,62A1418KD016
9024111,10383111,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 18: 21 PM,62A1419KD004
9018426,10302969,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 58: 57 AM,62A1416KD008
9018427,10302970,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 13: 53 PM,62A1416KD009
9018429,10302976,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 46 PM,62A1418KD007
9018431,10302978,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 13: 57 PM,62A1418KD009
9018424,10302967,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 12: 28 PM,62A1416KD006
9018425,10302968,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 24 PM,62A1416KD007
9019146,10302997,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 14 PM,62A1416KD003
9019147,10302998,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 42: 04 PM,62A1416KD004
9019148,10302999,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 55: 19 PM,62A1416KD005
9018430,10302977,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 09 PM,62A1418KD008
9018432,10302979,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 55 PM,62A1418KD010
9018433,10302980,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 10: 07: 12 PM,62A1418KD011
9024867,10383122,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 12: 07: 49 AM,62A1419KD007
9025204,10383131,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 18 PM,62A1419KD020
9025205,10383132,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 11: 02: 29 PM,62A1419KD021
9024866,10383121,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 12: 21: 25 AM,62A1419KD006
9024873,10383128,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 12: 46: 37 AM,62A1419KD015
9024874,10383129,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 13: 15 PM,62A1419KD016
9024869,10383124,USA,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,62A1419KD010
9024871,10383126,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 18: 59 AM,62A1419KD013
9024875,10383130,USA,Transmitting Data,Connected & Reporting,No Action,06-08-2016 10: 39: 09 PM,62A1419KD018
9018441,10302987,USA,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,62A1418KD014
9018442,10302988,USA,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,62A1418KD015
9024870,10383125,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 24: 18 PM,62A1419KD012
9024872,10383127,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 59 PM,62A1419KD014
9018466,10302993,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 08: 44: 58 PM,62A1418KD002
9018468,10302995,USA,Transmitting Data,Connected & Reporting,No Action,06-11-2016 10: 51: 25 PM,62A1418KD004
9018465,10302992,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 12: 07: 56 AM,62A1418KD001
9018467,10302994,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 11: 56: 28 PM,62A1418KD003
9018469,10302996,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 05: 24 PM,62A1418KD005
9024162,10383117,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 43 PM,62A1418KD019
9043749,10351099,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 58 PM,62A1421KD003
9043750,10351100,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 08: 07: 44 PM,62A1422KD001
9043751,10351101,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 12: 27: 48 AM,62A1424KD002
9037241,10351092,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 52 PM,62A1422KD029
9052842,10351300,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,07-12-2015 04: 20: 33 AM,62A1425KD002
9044991,10351125,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 11: 50: 33 PM,62A1424KD005
9046452,10351129,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 10: 11: 44 PM,62A1424KD004
9047476,10351135,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 01: 13: 41 AM,62A1425KD001
9042878,10351097,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 22: 01 PM,62A1422KD005
9043752,10351102,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 01 PM,62A1422KD006
9037243,10351094,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 59 PM,62A1422KD027
9049945,10351139,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 54 PM,62A1425KD003
9049946,10351140,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,,62A1424KD008
9030670,10351074,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 12: 01: 45 AM,62A1420KD008
9030671,10351075,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 12: 09: 11 AM,62A1420KD007
9050354,10351142,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 21: 54 PM,62A1425KD005
9042146,10351123,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 08: 56: 09 PM,62A1424KD001
9035746,10351085,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 47: 02 PM,62A1422KD007
9035747,10351086,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 14: 37 PM,62A1422KD008
9025919,10351029,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 09: 52 PM,62A1419KD022
9025921,10351032,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 59 PM,62A1420KD004
9046450,10351127,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 07: 37 PM,62A1424KD007
9046451,10351128,USA,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,62A1424KD006
9047477,10351136,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 16: 40 PM,62A1425KD011
9047478,10351137,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-17-2016 08: 26: 05 PM,62A1425KD012
9047479,10351138,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 15: 34 PM,62A1425KD004
9030669,10351073,USA,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,62A1420KD009
9030672,10351076,USA,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,62A1420KD006
9030673,10351077,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 04 PM,62A1420KD005
9042876,10351095,USA,Not Connected,MEM Remediation in progress for SEN Connectivity - USA,MEM to Submit SEN Onboarding Form,,62A1421KD002
9042877,10351096,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 16 PM,62A1423KD001
9043748,10351098,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 11: 40: 55 PM,62A1422KD003
9024110,10383110,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 22: 44 PM,62A1419KD003
9024112,10383112,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 09: 43 PM,62A1418KD018
9024113,10383113,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,04-30-2016 12: 36: 31 AM,62A1418KD020
9034412,10333520,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 11: 05: 50 PM,62A1419KD008
9034413,10333521,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 06: 58 AM,62A1419KD011
9045413,10333503,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 25: 48 PM,62A1423KD002
9045414,10333504,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 11: 27: 30 PM,62A1423KD003
9045415,10333505,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 56: 20 AM,62A1423KD004
9034488,10333535,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 10: 58 PM,62A1420KD002
9045408,10333512,USA,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,62A1423KD005
9045409,10333513,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,06-05-2016 01: 43: 43 AM,62A1423KD006
9034486,10333533,USA,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,62A1419KD019
9034487,10333534,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 10: 25: 35 PM,62A1419KD023
9034489,10333537,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 12: 21: 41 PM,62A1420KD003
9018463,10302990,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 09: 12 PM,621141PT031
9030664,10351068,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 26 PM,6211419PT014
9030665,10351069,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 10: 14: 36 AM,6211419PT013
9035743,10351084,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-17-2016 08: 14: 45 PM,6211419PT011
9042144,10351121,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 09: 31 PM,6211423PT002
9037239,10351090,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-12-2016 02: 32: 26 AM,6211419PT017
9025914,10351033,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 56: 56 PM,6211418PT008
9044989,10351104,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 19: 11 AM,6211423PT004
9049338,10333525,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 44 PM,6211423PT003
9045246,10333538,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 37: 45 PM,6211423PT001
9045405,10333509,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,06-05-2016 01: 45: 46 AM,6211419PT015
9198868,10501565,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 18 PM,6211510PT012
9223227,10402264,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-13-2016 02: 43: 31 PM,6211515PT001
9223230,10402267,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 09: 32: 01 AM,6211514PT006
9223231,10402269,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 55: 05 PM,6211515PT006
9199185,10559900,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-13-2016 03: 40: 51 PM,6211511PT003
9060154,10341073,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-04-2016 01: 46: 20 AM,6211426PT005
9218087,10402238,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 10: 00 PM,6211515PT007
9188638,10530167,USA,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,6211509PT044
9199186,10559902,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 00: 10 PM,6211510PT014
9171339,10461396,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 07: 23 PM,6211503PT024
9218086,10402237,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 48: 29 PM,6211515PT005
9199184,10532499,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 53: 23 PM,6211511PT001
9199187,10559903,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 04: 47 PM,6211510PT013
9199188,10559904,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 06: 49 PM,6211511PT002
9223232,10402270,USA,Not Connected,MEM Remediation in progress for SEN Connectivity - USA,MEM to Submit SEN Onboarding Form,,6211515PT002
9223228,10402265,USA,Not Connected,MEM Remediation in progress for SEN Connectivity - USA,MEM to Submit SEN Onboarding Form,,6211513PT006
9223229,10402266,USA,Transmitting Data,Connected & Reporting,No Action,01-03-2112 01: 32: 08 AM,6211514PT005
9051726,10321447,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,06-02-2016 12: 26: 19 AM,6211426PT006
9466813,10832288,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 10: 06: 59 AM,6211615PT008
9188637,10530166,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 02: 59: 14 PM,6211509PT045
9218082,10402204,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 01: 23: 02 PM,6211515PT004
9173404,10397718,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 26: 54 PM,6211504PT009
9173405,10397719,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 27: 19 PM,6211504PT010
9142857,10461088,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 30 PM,6211447PT001
9314659,10665165,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201535PT082
9454516,10843623,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 01: 49: 43 PM,6201611PT205
9314658,10665164,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201535PT080
9360936,10663907,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 15 PM,6201545PT069
9360937,10663908,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201545PT076
9297371,10529798,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201523PT004
9301587,10651687,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201525PT030
9346929,10735081,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 06 PM,6201540PT061
9418423,10742971,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201609PT344
9313226,10661161,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 59 PM,6201535PT066
9307008,10660564,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 12: 19 PM,6201534PT051
9313227,10661162,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 19 PM,6201535PT072
9302258,10657770,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 59 PM,6201533PT055
9326231,10497378,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 08: 23 PM,6201535PT058
9307007,10660563,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 51: 00 PM,6201535PT001
9313223,10661158,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 39 PM,6201535PT059
9313222,10661157,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 32 PM,6201535PT068
9417472,10776697,USA,Not Connected,MEM Remediation in progress for SEN Connectivity - USA,MEM to Submit SEN Onboarding Form,,6201608PT402
9298861,10626854,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201523PT032
9283224,10648204,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-09-2016 11: 58: 41 PM,6201523PT008
9283225,10648205,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-27-2016 11: 01: 05 PM,6201525PT029
9283226,10648206,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-09-2016 11: 50: 09 PM,6201523PT010
9394170,10664370,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 24 PM,6301603PT298
9394171,10664371,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 10: 43: 11 AM,6301603PT247
9338312,10646766,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201535PT083
9297936,10646463,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201528PT018
9387633,10734813,USA,Transmitting Data,Connected & Reporting,No Action,06-10-2016 10: 10: 20 PM,6201552PT107
9313221,10661156,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 30 PM,6201535PT073
9387627,10734807,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 53 PM,6201552PT110
9387626,10734806,USA,Transmitting Data,Connected & Reporting,No Action,06-11-2016 10: 02: 07 PM,6201552PT100
9417012,10783466,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 51: 42 PM,62O1609PT340
9387628,10734808,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 08: 41: 59 PM,6201552PT111
9294682,10639665,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,04-07-2016 08: 53: 58 AM,6201523PT037
9356368,10685494,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201544PT094
9216952,70031588,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 56 PM,6201512PT001
9299553,70036343,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 01: 09 PM,6201525PT020
9302408,70038833,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 08: 25: 43 PM,6201534PT032
9310427,70039074,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 54 PM,6201533PT073
9264511,10613492,USA,Not Connected,MEM Remediation in progress for SEN Connectivity - USA,MEM to Submit SEN Onboarding Form,,6201523PT011
9310890,10639716,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 08: 44: 41 AM,6201535PT079
9348190,10639977,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 01: 49: 02 PM,6201541PT016
9299126,10593784,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201525PT018
9349455,10639982,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,06-07-2016 07: 35: 38 PM,6201541PT017
9297937,10646464,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201528PT021
9441441,10806473,USA,Not Connected,SEN - Activation In Progress,No Action,,62O1608PT174
9306611,10614879,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-03-2016 09: 38: 30 PM,6201534PT040
9382330,10758751,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 12: 15: 49 AM,6201550PT264
9418867,10789411,USA,Not Connected,MEM Remediation in progress for SEN Connectivity - USA,MEM to Submit SEN Onboarding Form,,6201609PT462
9387629,10734809,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 28 PM,6201552PT112
9301588,10651688,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201528PT017
9448854,10725201,USA,Not Connected,MEM Remediation in progress for SEN Connectivity - USA,MEM to Submit SEN Onboarding Form,,6201610PT037
9382329,10758750,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201550PT265
9213448,70031581,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 53 PM,6201511PT007
9213716,70031577,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 26 PM,6201512PT004
9349551,10689498,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 05: 46 PM,6201541PT012
9441440,10806472,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 19 PM,62O1609PT381
9290811,10651675,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 15: 58 PM,6201525PT019
9294994,10620493,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 04: 51: 36 PM,6201526PT014
9294995,10620494,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 00: 51 PM,6201526PT013
9305487,10614874,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 14: 00 PM,6201531PT012
9395387,10694493,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 10: 45: 54 PM,6201603PT051
9300402,10620981,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-17-2016 08: 11: 23 PM,6201533PT064
9301760,10660534,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 10: 21: 15 PM,6201533PT072
9291132,10626708,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-19-2016 06: 34: 24 PM,6201526PT008
9305488,10614875,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 27 PM,6201528PT029
9298874,10647334,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 12 PM,62O1533PT014
9302257,10657769,USA,Transmitting Data,Connected & Reporting,No Action,06-08-2016 10: 48: 55 PM,6201533PT024
9302134,10402739,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-29-2016 03: 34: 36 PM,6201533PT056
9305489,10614876,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 06: 18 PM,6201531PT008
9302414,70038839,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 25: 30 PM,6201533PT070
9301075,70037707,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 11: 34 PM,6201533PT005
9301393,70038558,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 36 PM,6201523PT035
9302405,70038830,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 38: 24 PM,6201534PT031
9304780,70038885,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201535PT011
9304777,70038882,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 56: 46 PM,6201534PT048
9299562,70036352,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 53 PM,6201531PT004
9303233,70037412,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201533PT017
9311191,70036947,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201531PT016
9303234,70037413,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 57 PM,6201533PT018
9301399,70038564,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 01: 22 PM,6201528PT028
9311180,70038790,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 22 PM,6201535PT056
9301396,70038561,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 03: 06 PM,6201523PT031
9311182,70038792,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 15 PM,6201535PT060
9301401,70038566,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,04-20-2016 10: 49: 33 PM,6201525PT016
9311196,70038735,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 30 PM,6201531PT015
9311187,70038797,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 52: 30 PM,6201535PT065
9301392,70038557,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6201528PT023
9300595,70037356,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 03 PM,6201533PT019
9299558,70036348,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 31 PM,6201523PT033
9310436,70039083,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 21 PM,6201535PT021
9299555,70036345,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-16-2016 08: 17: 44 PM,6201528PT025
9330480,70038914,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 26 PM,6201538PT016
9299560,70036350,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 13: 53 PM,6201528PT027
9299554,70036344,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201528PT024
9441439,10806471,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,62O1609PT379
9356369,10685495,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201544PT093
9356371,10685497,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201544PT091
9356370,10685496,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 07 PM,6201544PT095
9365986,70041999,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 12 PM,6201536PT042
9365984,70041997,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 17 PM,6201536PT040
9301394,70038559,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6201523PT034
9362732,10684606,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201545PT072
9462759,10818794,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 48 PM,6201612PT082
9442032,10812541,USA,Not Connected,MEM Remediation in progress for SEN Connectivity - USA,MEM to Submit SEN Onboarding Form,,6201613PT033
9418865,10789409,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 57 PM,6201606PT319
9462757,10818792,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 18 PM,6201609PT407
9418919,10658777,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201608PT343
9382328,10758749,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 39 PM,6201550PT261
9287417,10648218,USA,Not Connected,MEM Remediation in progress for SEN Connectivity - USA,MEM to Submit SEN Onboarding Form,,6201526PT011
9376954,10742801,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201546PT150
9388758,10644800,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201602PT498
9416518,10646964,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 31 PM,6201609PT327
9386732,10262657,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6001552PT008
9356372,10685498,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6201544PT092
